model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,prediction0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,0.5102289872434665,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,4.202289872434665,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,41.12289872434666,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,82.14579744869332,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,205.21449362173328,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,410.3289872434666,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,615.4434808651998,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,820.5579744869332,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,1230.7869617303995,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,1641.0159489738662,,0
Trails_class_AB800,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.102289872434666,0.1,2051.244936217333,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,0.5000002281833864,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,4.100002281833864,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,40.100022818338644,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,80.10004563667728,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,200.1001140916932,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,400.10022818338643,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,600.1003422750796,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,800.1004563667728,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,1200.100684550159,,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,0.1,1600.1009127335456,,0
