model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,prediction0,prediction1,prediction2
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,2.1,2.5753722858024126,,A,B,0,0,0
CNN_paper_work_AB_CD_350,{A},A,TryAll,SquaredSum,Mean_Square_Error,1000000000,3.0092382382017178,2.1,5.109238238201717,,A,B,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,30.506345967307492,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,55.012691934614985,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,79.51903790192247,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,104.02538386922997,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,128.53172983653747,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,153.03807580384495,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,177.54442177115246,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,202.05076773845994,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,214.30394072211368,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,226.55711370576742,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,238.8102866894212,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,251.06345967307493,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,263.31663265672864,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,275.5698056403824,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,287.8229786240362,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,300.0761516076899,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,324.5824975749974,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,349.0888435423049,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,373.5951895096124,A,AC,C,0,1,0
CNN_paper_work_AB_CD_350,{AC},AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.4506345967307492,6,496.12691934614986,A,AC,C,0,1,0
