model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,prediction0,prediction1,prediction2,prediction3,prediction4
Trails_class_AB800,{A},A,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.6544551345346936,4.1,4.365445513453469,,A,B,C,D,0,1,0,0,0
Trails_class_AB800,{A},A,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.6544551345346936,4.1,6.754455134534693,,A,B,C,D,0,1,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,15.596000110145784,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,24.092000220291567,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,49.580000550728926,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,92.06000110145784,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,134.5400016521868,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,177.0200022029157,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,261.98000330437355,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,346.9400044058314,,A,AB,B,C,0,0,1,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,7.1,431.9000055072893,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.000002281833864,4.1,4.500000228183386,,A,B,C,D,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100002281833864,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100022818338642,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100045636677285,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100114091693212,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100228183386424,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100342275079636,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100456366772848,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100684550159271,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.100912733545695,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,7.1,7.10114091693212,,A,AB,B,C,0,0,1,0,0
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,4.1,4.1,,A,B,C,D,1,0,1,1,1
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,4.1,4.29639232905523,,A,B,C,D,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,4.1,6.063923290552305,,A,B,C,D,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.101962362162404,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.103924724324802,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.109811810812005,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.119623621624008,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.12943543243601,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.139247243248015,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.15887086487202,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.178494486496028,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.198118108120035,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,4.1,4.29639232905523,,A,B,C,D,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,4.1,6.063923290552305,,A,B,C,D,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.101962362162404,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.102158598378644,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.102354834594884,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.10255107081112,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.10274730702736,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.1029435432436,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.10313977945984,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.10333601567608,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.10353225189232,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.103728488108562,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.103924724324802,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.109811810812005,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.119623621624008,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.12943543243601,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.139247243248015,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.15887086487202,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.178494486496028,,BC,BCD,BD,CD,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,21.1,21.198118108120035,,BC,BCD,BD,CD,0,0,1,0,0
