model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,8.1,8.184960001101457,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,8.1,8.949600011014578,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,8.1,16.596000110145784,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,8.1,25.092000220291567,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,8.1,50.580000550728926,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_AB800,{AC'D'+ACD-AB+ACD},AB+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26,82.86332436429774,AB,AC,ACD,AD,B,CD,1,0,1,0,0,0
Trails_class_AB800,{AC'D'+ACD-AB+ACD},AB+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26,111.2949865464466,AB,AC,ACD,AD,B,CD,1,0,1,0,0,0
Trails_class_AB800,{AC'D'+ACD-AB+ACD},AB+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26,139.72664872859548,AB,AC,ACD,AD,B,CD,1,0,1,0,0,0
Trails_class_AB800,{AC'D'+ACD-AB+ACD},AB+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26,196.5899730928932,AB,AC,ACD,AD,B,CD,1,0,1,0,0,0
Trails_class_AB800,{AC'D'+ACD-AB+ACD},AB+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26,253.45329745719093,AB,AC,ACD,AD,B,CD,1,0,1,0,0,0
Trails_class_AB800,{AC'D'+ACD-AB+ACD},AB+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26,310.31662182148864,AB,AC,ACD,AD,B,CD,1,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100000228183386,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100002281833865,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100022818338642,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100045636677285,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.10011409169321,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100228183386424,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100342275079635,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100456366772848,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100684550159272,,A,AB,B,C,D,0,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,8.1,8.100912733545696,,A,AB,B,C,D,0,0,1,0,0,0
