model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,12.1,12.184960001101457,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,12.1,12.949600011014578,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,12.1,20.596000110145784,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,12.1,29.092000220291567,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,54.531662182148864,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,82.96332436429773,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,111.3949865464466,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,139.82664872859547,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,196.68997309289318,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,253.55329745719092,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
