model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,16.1,16.575372285802413,,A,AB,AC,AD,B,C,D,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,16.1,20.853722858024124,,A,AB,AC,AD,B,C,D,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{AC+BD},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16.1,30.29562785979794,,A,AB,AC,B,BD,C,D,0,0,0,1,0,1,0,0
CNN_paper_work_AB_CD_350,{AC+BD},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16.1,44.491255719595884,,A,AB,AC,B,BD,C,D,0,0,0,1,0,1,0,0
CNN_paper_work_AB_CD_350,{AC+BD},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16.1,58.68688357939382,,A,AB,AC,B,BD,C,D,0,0,0,1,0,1,0,0
CNN_paper_work_AB_CD_350,{BD+AC},BD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16.1,72.88251143919176,,A,AB,AC,B,BD,C,D,0,0,0,1,0,1,0,0
CNN_paper_work_AB_CD_350,{BD+AC},BD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16.1,87.0781392989897,,A,AB,AC,B,BD,C,D,0,0,0,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,99.51025794073297,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,111.07863426418845,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,122.64701058764396,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,128.4311987493717,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,134.21538691109944,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,139.99957507282718,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,145.78376323455493,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,151.5679513962827,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,157.35213955801044,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{B'C'D+B'CD'+BCD-B'CD'+BCD+AD-B'C'D+BCD+AC-BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,30.1,163.13632771973818,,A,AC,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC-BCD+ABD+B'D'},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,42,168.5128235737736,AB,ABD,AC,AD,BC,BCD,BD,CD,0,1,1,0,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC-BCD+ABD+B'D'},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,42,179.05555887158806,AB,ABD,AC,AD,BC,BCD,BD,CD,0,1,1,0,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC-BCD+ABD+B'D'},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,42,189.59829416940255,AB,ABD,AC,AD,BC,BCD,BD,CD,0,1,1,0,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC-BCD+ABD+B'D'},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,42,200.141029467217,AB,ABD,AC,AD,BC,BCD,BD,CD,0,1,1,0,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC-BCD+ABD+B'D'},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,42,252.85470595628934,AB,ABD,AC,AD,BC,BCD,BD,CD,0,1,1,0,0,1,0,0
