model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,20.1,20.18496000110146,,A,AB,AC,AD,B,BC,C,D,0,0,1,0,0,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,20.1,20.94960001101458,,A,AB,AC,AD,B,BC,C,D,0,0,1,0,0,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,20.1,28.596000110145788,,A,AB,AC,AD,B,BC,C,D,0,0,1,0,0,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,20.1,37.09200022029157,,A,AB,AC,AD,B,BC,C,D,0,0,1,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,28.1,56.531662182148864,,A,AB,AC,ACD,AD,B,C,CD,0,0,1,0,1,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,28.1,84.96332436429773,,A,AB,AC,ACD,AD,B,C,CD,0,0,1,0,1,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,28.1,113.3949865464466,,A,AB,AC,ACD,AD,B,C,CD,0,0,1,0,1,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,28.1,141.82664872859547,,A,AB,AC,ACD,AD,B,C,CD,0,0,1,0,1,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,28.1,198.68997309289318,,A,AB,AC,ACD,AD,B,C,CD,0,0,1,0,1,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,28.1,255.55329745719092,,A,AB,AC,ACD,AD,B,C,CD,0,0,1,0,1,0,0,0,0
